Bit;SMARTS
KR203;[!#1][CH]1[CH2][CH]2[CH2][CH2][CH]([CH2]1)N2[!#1]
KR204;[!#1][CH]1[CH2][CH]2[CH2][CH2][CH]([CH2]1)N2[CH3]
KR205;[!#1][CH]1[CH2][CH]2[CH2][CH2][CH]1[CH2]2
KR206;[!#1][CH]1[CH2][CH]2[CH2][CH2]N1[CH2][CH]2[CH]=[CH2]
KR207;[!#1][CH]1[CH2][CH2][CH]([!#1])[CH]([!#1])[CH2]1
KR208;[!#1][CH]1[CH2][CH2][CH]([!#1])[CH2][CH2]1
KR209;[!#1][CH]1[CH2][CH2][CH]([CH2][CH2]1)C([CH3])([CH3])[CH3]
KR210;[!#1][CH]1[CH2][CH2][CH]2[CH2][CH2][CH2][NH][CH]2[CH2]1
KR211;[!#1][CH]1[CH2][CH2][CH2][CH]([!#1])N1[!#1]
KR212;[!#1][CH]1[CH2][CH2][CH2][CH2][CH]1[!#1]
KR213;[!#1][CH]1[CH2][CH2][CH2][CH2][CH2][CH2][CH2]1
KR214;[!#1][CH]1[CH2][CH2][CH2][CH2][CH2]1
KR215;[!#1][CH]1[CH2][CH2][CH2][CH2][NH]C1=O
KR216;[!#1][CH]1[CH2][CH2][CH2][CH2]1
KR217;[!#1][CH]1[CH2][CH2][CH2][CH2]C1=O
KR218;[!#1][CH]1[CH2][CH2][CH2][CH2]N1[!#1]
KR219;[!#1][CH]1[CH2][CH2][CH2]C1=N[NH]C(=S)[NH2]
KR220;[!#1][CH]1[CH2][CH2][CH2]c2c1[nH]c3[cH][cH]c([!#1])[cH]c23
KR221;[!#1][CH]1[CH2][CH2][CH2]c2c1[nH]c3[cH][cH]c([cH]c23)c4[cH][cH][cH][cH][cH]4
KR222;[!#1][CH]1[CH2][CH2][CH2]c2c1[nH]c3[cH][cH]c([CH3])[cH]c23
KR223;[!#1][CH]1[CH2][CH2][CH2]N([!#1])[CH2]1
KR224;[!#1][CH]1[CH2][CH2][CH2]N1[!#1]
KR225;[!#1][CH]1[CH2][CH2][CH2]O1
KR226;[!#1][CH]1[CH2][CH2][NH][CH2][CH2]1
KR227;[!#1][CH]1[CH2][CH2][NH]C(=O)[NH]1
KR228;[!#1][CH]1[CH2][CH2]1
KR229;[!#1][CH]1[CH2][CH2]C([!#1])(C(=O)[OH])C1([!#1])[CH3]
KR230;[!#1][CH]1[CH2][CH2]C([CH3])(C(=O)[OH])C1([CH3])[CH3]
KR231;[!#1][CH]1[CH2][CH2]c2c([!#1])c([!#1])sc2C1=O
KR232;[!#1][CH]1[CH2][CH2]N([!#1])[CH2][CH2]1
KR233;[!#1][CH]1[CH2][CH2]OC1=O
KR234;[!#1][CH]1[CH2][CH2]S(=O)(=O)[CH2]1
KR235;[!#1][CH]1[CH2][NH]c2[cH][cH][cH][cH]c12
KR236;[!#1][CH]1[CH2]C([!#1])([CH]([!#1])[CH2]N1[!#1])c2[cH][cH][cH][cH][cH]2
KR237;[!#1][CH]1[CH2]C([!#1])([CH3])[NH]C([!#1])([CH3])[CH2]1
KR238;[!#1][CH]1[CH2]C([CH3])([CH3])[NH]C([CH3])([CH3])[CH2]1
KR239;[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH][cH][cH][cH]2
KR240;[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH][cH]c([!#1])[cH]2
KR241;[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH][cH]c(Cl)[cH]2
KR242;[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH][cH]c3[cH][cH][cH][cH]c23
KR243;[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH]c([!#1])[cH][cH]2
KR244;[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH]c(Br)[cH][cH]2
KR245;[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH]c(Cl)[cH][cH]2
KR246;[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH]c(O[CH3])[cH][cH]2
KR247;[!#1][CH]1[CH2]C(=O)N(N([CH3])[CH3])C1=O
KR248;[!#1][CH]1[CH2]C(=O)O[CH]1c2[cH][cH][cH][cH][cH]2
KR249;[!#1][CH]1[CH2]C1([!#1])[CH3]
KR250;[!#1][CH]1[CH2]C1([CH3])[CH3]
KR251;[!#1][CH]1[CH2]C1(c2[cH][cH][cH][cH][cH]2)c3[cH][cH][cH][cH][cH]3
KR252;[!#1][CH]1[CH2]C1(c2[cH][cH]c([!#1])[cH][cH]2)c3[cH][cH]c([!#1])[cH][cH]3
KR253;[!#1][CH]1[CH2]C1(c2[cH][cH]c([CH3])[cH][cH]2)c3[cH][cH]c([CH3])[cH][cH]3
KR254;[!#1][CH]1[CH2]C2([!#1])[CH2]C([!#1])([CH2][CH]([!#1])C2=O)C1=O
KR255;[!#1][CH]1[CH2]c2[cH][cH][cH]c3[cH][cH][cH]c1c23
KR256;[!#1][CH]1[CH2]C21[CH2][CH2][CH2]2
KR257;[!#1][CH]1[CH2]c2c([nH]c3[cH][cH][cH][cH]c23)[CH]([!#1])[NH]1
KR258;[!#1][CH]1[CH2]c2c([nH]c3[cH][cH][cH][cH]c23)[CH]([NH]1)c4[cH][cH]c([!#1])[cH][cH]4
KR259;[!#1][CH]1[CH2]N2[CH2][CH2][CH]1[CH2][CH]2[!#1]
KR260;[!#1][CH]1[CH2]O[CH]([!#1])O1
KR261;[!#1][CH]1[CH2]O1
KR262;[!#1][CH]1[CH2]OC([!#1])([CH3])O1
KR263;[!#1][CH]1[CH2]OC2([CH2][CH2][CH2][CH2][CH2]2)O1
KR264;[!#1][CH]1[CH2]Oc2[cH][cH][cH][cH]c2O1
KR265;[!#1][CH]1[CH2]S(=O)(=O)[CH]=[CH]1
KR266;[!#1][CH]1[CH2]S(=O)(=O)[CH2][CH]1[!#1]
KR267;[!#1][CH]1[CH2]S(=O)(=O)[CH2][CH]1[OH]
KR268;[!#1][CH]1[CH2]S[CH]([NH]1)c2[cH][cH]c([!#1])[cH][cH]2
KR269;[!#1][CH]1[CH2]S[CH](N1[!#1])c2[cH][cH]c([!#1])[cH][cH]2
KR270;[!#1][CH]1[CH2]S[CH2][CH]1[!#1]
KR271;[!#1][CH]1[NH][CH2][CH2]n2[cH][cH][cH]c12
KR272;[!#1][CH]1[NH]c2[cH][cH][cH][cH]c2[NH]C1=O
KR273;[!#1][CH]1C(=NN(C1=O)c2[cH][cH][cH][cH][cH]2)[!#1]
KR274;[!#1][CH]1C(=NN(C1=O)c2c([!#1])c([!#1])c([!#1])c([!#1])c2[!#1])[!#1]
