Bit;SMARTS
KR3114;c1ccc(cc1)c2nc3ccccc3s2
KR3115;c1ccc(cc1)c2ncccn2
KR3116;c1ccc(cc1)c2ncncn2
KR3117;C1CCC(CC1)c2nnn[nH]2
KR3118;C1CCC(CC1)c2nnnn2c3ccccc3
KR3119;c1ccc(cc1)n2nc3ccccc3n2
KR3120;C1CCC=CC1
KR3121;C1CCC1
KR3122;c1ccc2[nH]nnc2c1
KR3123;c1ccc2[nH+]c3ccccc3nc2c1
KR3124;c1ccc2[nH+]cccc2c1
KR3125;c1ccc2c(c1)[nH]c3cc4ccccc4nc32
KR3126;C1CCc2c(C1)[nH]c3ccc(cc23)c4ccccc4
KR3127;C1CCc2c(C1)[nH]c3ccccc23
KR3128;c1ccc2c(c1)[nH]c3ccccc32
KR3129;c1ccc2c(c1)[nH]c3ncnnc23
KR3130;C1CCc2c(C1)nc3ccccn23
KR3131;c1ccc2c(c1)oc3ccccc32
KR3132;C1CCc2c(C1)sc3ncncc23
KR3133;C1CCC2C(NCCC2C1)c3ccccc3
KR3134;c1ccc2c[nH+]ccc2c1
KR3135;c1ccc2c3[nH]c4ccccc4c3[nH]c2c1
KR3136;c1ccc2C3c4ccccc4C(c2c1)c5ccccc35
KR3137;c1ccc2cc3ccccc3cc2c1
KR3138;c1ccc2cc3ncccc3cc2c1
KR3139;c1ccc2ccccc2c1
KR3140;c1ccc2n[nH]nc2c1
KR3141;c1ccc2nc3ccccc3cc2c1
KR3142;c1ccc2nc3ccccc3nc2c1
KR3143;c1ccc2ncccc2c1
KR3144;c1ccc2nccnc2c1
KR3145;c1ccc2ncncc2c1
KR3146;c1ccc2nonc2c1
KR3147;c1ccc2nsnc2c1
KR3148;C1CCc2sccc2C1
KR3149;C1CCCC1
KR3150;C1CCCCC1
KR3151;C1CCCCCC1
KR3152;C1CCCCCCC1
KR3153;C1CCCNCC1
KR3154;c1ccn(c1)c2ccccc2
KR3155;C1CCN(CC1)c2ncncn2
KR3156;C1CCNC1
KR3157;C1CCNCC1
KR3158;c1ccnnc1
KR3159;c1ccoc1
KR3160;C1CCOCC1
KR3161;c1ccsc1
KR3162;C1CN(C(N1c2ccccc2)c3ccccc3)c4ccccc4
KR3163;C1CN(CCN1)c2ccccc2
KR3164;C1CN(CCN1)c2ccccn2
KR3165;C1CN(CCO1)c2ccccc2
KR3166;C1CN(CCO1)c2ncnc(n2)N3CCOCC3
KR3167;C1CN(CCO1)c2ncncn2
KR3168;c1cn(nc1c2ccccc2)c3ccccc3
KR3169;c1cn[nH]c1
KR3170;c1cn2c(n1)[nH]c3ccccc32
KR3171;C1CN2CCC1CC2
KR3172;C1Cn2cccc2C=[NH+]1
KR3173;C1Cn2cccc2C=N1
KR3174;C1Cn2cccc2CN1
KR3175;c1cn2ccccc2n1
KR3176;C1CNC(N1)c2ccccc2
KR3177;C1CNc2ccccc2C1
KR3178;c1cnc2nonc2n1
KR3179;C1CNCCN1
KR3180;c1cncnc1
KR3181;c1cnn(c1)c2ccccc2
KR3182;c1cnoc1
KR3183;c1cnon1
KR3184;c1coc(c1)c2ccccc2
KR3185;C1COC(C1)n2cnc3cncnc23
KR3186;C1COC(N1)c2ccccc2
KR3187;C1COC=CO1
KR3188;C1COC2(CCCCC2)O1
KR3189;C1COC2C(C1)COc3ccccc23
KR3190;C1COc2ccccc2O1
KR3191;C1COCCN1
KR3192;C1COCCO1
KR3193;C1COCCOCCNCCOCCOCCN1
KR3194;C1COCCOCCOCCOCCOCCN1
KR3195;c1cocn1
KR3196;C1COCO1
KR3197;c1csc(c1)c2ccccc2
KR3198;C1CSC(N1)c2ccccc2
KR3199;c1csc[nH+]1
KR3200;c1cscn1
KR3201;c1n[nH]c2cccn[n+]12
KR3202;c1n[nH+]c[nH]1
KR3203;c1nc(cs1)c2ccccc2
KR3204;c1nc(oc1c2ccccc2)c3ccccc3
KR3205;c1nc[nH]n1
KR3206;c1nc2ccccc2[nH]1
KR3207;c1nc2ccccc2o1
KR3208;c1nc2ccccc2s1
KR3209;c1nc2cnccc2[nH]1
KR3210;c1nc2cncnc2[nH]1
KR3211;c1nc2nc(cc(c3ccccc3)n2n1)c4ccccc4
KR3212;c1nc2ncccn2n1
KR3213;c1nc2ncncc2[nH]1
KR3214;c1ncc(s1)c2ccccc2
KR3215;c1ncncn1
KR3216;c1nnc[nH]1
KR3217;c1nncn1c2ccccc2
KR3218;c1nnco1
KR3219;c1nncs1
KR3220;c1nnn[nH]1
KR3221;c1nnnn1c2ccccc2
KR3222;C1Oc2ccccc2O1
KR3223;CBr
KR3224;CC
KR3225;CC#C
KR3226;CC#CC(O)(c1ccccc1)c2ccccc2
KR3227;CC#CCCO
KR3228;CC(=C)C(=O)N
KR3229;CC(=N)C
KR3230;CC(=N)CC=O
KR3231;CC(=NN)C
KR3232;CC(=NNC(=O)c1ccccc1)c2ccccc2
KR3233;CC(=NNC(=O)c1ccccc1O)c2ccccc2
KR3234;CC(=NNC(=O)CO)C
KR3235;CC(=NNC(=O)CO)C=C
KR3236;CC(=NNC(=O)CO)C=Cc1ccco1
KR3237;CC(=NNC(=O)CO)c1ccc(Br)s1
KR3238;CC(=NNC(=O)CO)c1cccs1
KR3239;CC(=NNC=O)C
KR3240;CC(=NNC=O)C(=O)O
KR3241;CC(=NNC=O)C=C
KR3242;CC(=NNC=O)C=Cc1ccccc1
KR3243;CC(=NNC=O)c1cc(O)ccc1O
KR3244;CC(=NNC=O)C1CC1
KR3245;CC(=NNC=O)c1cc2ccc(O)cc2oc1=O
KR3246;CC(=NNC=O)c1ccc(Br)cc1
KR3247;CC(=NNC=O)c1ccc(cc1)[N+](=O)[O-]
KR3248;CC(=NNC=O)c1ccc(cc1)c2ccccc2
KR3249;CC(=NNC=O)c1ccc(Cl)s1
KR3250;CC(=NNC=O)c1ccc(F)cc1
KR3251;CC(=NNC=O)c1ccc(N)cc1
KR3252;CC(=NNC=O)c1ccc(O)cc1
KR3253;CC(=NNC=O)c1cccc(c1)[N+](=O)[O-]
KR3254;CC(=NNC=O)c1cccc(N)c1
KR3255;CC(=NNC=O)c1ccccc1
KR3256;CC(=NNC=O)c1ccccc1O
KR3257;CC(=NNC=O)c1ccco1
KR3258;CC(=NNC=O)c1cccs1
KR3259;CC(=NNC=O)CC(=O)N
KR3260;CC(=NNC=O)CCC=C
KR3261;CC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c2ccccc2
KR3262;CC(=NNc1ccccc1)c2ccccc2
KR3263;CC(=NNc1ccccc1)CC=O
KR3264;CC(=NO)c1ccccc1
KR3265;CC(=NOC(=O)N)C
KR3266;CC(=NOC=O)C(C)(C)C
KR3267;CC(=NOC=O)c1ccccc1
KR3268;CC(=O)C
KR3269;CC(=O)C1(C(C=O)C(C=O)C2c3ccccc31)c4ccccc24
KR3270;CC(=O)C1(CC2CC3CC(C2)C1)C3
KR3271;CC(=O)c1c(C)[nH]c2ccc(O)cc12
KR3272;CC(=O)c1c(C)[nH]c2ccccc12
KR3273;CC(=O)c1c(C)cc(C)[nH]c1=O
KR3274;CC(=O)c1c(O)cc(C)oc1=O
KR3275;CC(=O)c1ccc(Br)cc1
KR3276;CC(=O)c1ccc(C)cc1
KR3277;CC(=O)c1ccc(cc1)c2ccccc2
KR3278;CC(=O)c1ccc(Cl)c(Cl)c1
KR3279;CC(=O)c1ccc(Cl)cc1
KR3280;CC(=O)c1ccc(N)cc1
KR3281;CC(=O)c1ccc(O)cc1
KR3282;CC(=O)c1cccc(c1)[N+](=O)[O-]
KR3283;CC(=O)c1ccccc1
KR3284;CC(=O)c1ccccc1C(=O)C
KR3285;CC(=O)c1ccccc1O
KR3286;CC(=O)c1ccncc1
KR3287;CC(=O)CC(=NNC=O)C
KR3288;CC(=O)CC(=O)C
KR3289;CC(=O)CC(=O)N
KR3290;CC(=O)CC(C)(C)S(=O)=O
KR3291;CC(=O)CC=O
KR3292;CC(=O)CCS(=O)=O
KR3293;CC(=O)CO
KR3294;CC(=O)CS(=O)=O
KR3295;CC(=O)N
KR3296;CC(=O)n1ccc2ccccc12
KR3297;CC(=O)N1CCOCC1
KR3298;CC(=O)NC(=C)C(=O)N
KR3299;CC(=O)NC(=Cc1ccccc1)C(=O)N
KR3300;CC(=O)NC(N)C(Cl)(Cl)Cl
KR3301;CC(=O)NC(NC(=S)N)C(Cl)(Cl)Cl
KR3302;CC(=O)NCC(=O)N
KR3303;CC(=O)NN
KR3304;CC(=O)NN=C
KR3305;CC(=O)NN=C(C)c1ccccc1
KR3306;CC(=O)NN=C(C=O)c1cccc(Br)c1
KR3307;CC(=O)NN=C(C=O)c1cccc(c1)[N+](=O)[O-]
KR3308;CC(=O)NN=C1CCCc2c1non2=O
KR3309;CC(=O)NN=Cc1c(Cl)cccc1Cl
KR3310;CC(=O)NN=Cc1c(O)ccc2ccccc12
KR3311;CC(=O)NN=Cc1c[nH]c2ccccc12
KR3312;CC(=O)NN=Cc1cc(ccc1O)[N+](=O)[O-]
KR3313;CC(=O)NN=Cc1cc(N=Nc2ccccc2)ccc1O
KR3314;CC(=O)NN=Cc1cc2ccccc2nc1Cl
KR3315;CC(=O)NN=Cc1cc2OCOc2cc1[N+](=O)[O-]
KR3316;CC(=O)NN=Cc1ccc(Br)cc1
KR3317;CC(=O)NN=Cc1ccc(cc1)[N+](=O)[O-]
KR3318;CC(=O)NN=Cc1ccc(Cl)cc1
KR3319;CC(=O)NN=Cc1ccc2OCOc2c1
KR3320;CC(=O)NN=Cc1cccc(c1)[N+](=O)[O-]
KR3321;CC(=O)NN=Cc1ccccc1
KR3322;CC(=O)NN=Cc1ccccc1O
KR3323;CC(=O)NN=Cc1ccco1
KR3324;CC(=O)NN=Cc1cccs1
KR3325;CC(=O)NNC=O
KR3326;CC(=O)NO
KR3327;CC(=O)NS(=O)=O
KR3328;CC(=O)O
KR3329;CC(=O)O[Na]
KR3330;CC(=O)OC(=N)c1ccccc1
KR3331;CC(=O)OCC=O
KR3332;CC(=O)OCCNC=O
KR3333;CC(Br)(Br)Br
KR3334;CC(Br)C(=O)N
KR3335;CC(C(C=O)C(C=O)C(C)c1ccccc1)c2ccccc2
KR3336;CC(C)(C)C
KR3337;CC(C)(C)C(=O)N
KR3338;CC(C)(C)C(=O)NC(NC(=S)N)C(Cl)(Cl)Cl
KR3339;CC(C)(C)C=O
KR3340;CC(C)(C)c1cc(Br)cc(C=N)c1O
KR3341;CC(C)(C)c1cc(C=N)cc(c1O)C(C)(C)C
KR3342;CC(C)(C)c1cc(C=O)cc(c1)C(C)(C)C
KR3343;CC(C)(C)c1ccc(C=O)cc1
KR3344;CC(C)(C)c1ccc(cc1)S(=O)=O
KR3345;CC(C)(C)c1ccc(O)c(c1)C(C)(C)C
KR3346;CC(C)(C)c1ccc(O)cc1
KR3347;CC(C)(C)c1cccc(c1)C(C)(C)C
KR3348;CC(C)(C)c1cccc(c1O)C(C)(C)C
KR3349;CC(C)(C)c1ccccc1
KR3350;CC(C)(C)c1ncccc1O
KR3351;CC(C)(C)CC=C
KR3352;CC(C)(C)CC=Cc1ccc(Cl)cc1Cl
KR3353;CC(C)(C)N
KR3354;CC(C)(C)NC(NC=O)C(Cl)(Cl)Cl
KR3355;CC(C)(C)NC=O
KR3356;CC(C)(C)NCC(=O)N
KR3357;CC(C)(C)NCC(O)CO
KR3358;CC(C)(C)NS(=O)(=O)N
KR3359;CC(C)(C)NS(=O)=O
KR3360;CC(C)(C)O
KR3361;CC(C)(C)OC=O
KR3362;CC(C)(C)S
KR3363;CC(C)(C)S(=O)=O
KR3364;CC(C)(c1ccc(O)cc1)c2ccc(O)cc2
KR3365;CC(C)(CCC(=O)N)C(=O)N
KR3366;CC(C)(CCC=O)C=O
KR3367;CC(C)(N)CO
KR3368;CC(C)(O)C#C
KR3369;CC(C)C
KR3370;CC(C)C(=O)NC(NC(=S)N)C(Cl)(Cl)Cl
KR3371;CC(C)C(N)C(=O)O
KR3372;CC(C)C(NC(=S)SCC=O)C(=O)O
KR3373;CC(C)C(NC=O)C(=O)O
KR3374;CC(C)C(NS(=O)=O)C(=O)O
KR3375;CC(C)C=O
KR3376;CC(C)c1cc(C(C)C)c(S(=O)=O)c(c1)C(C)C
KR3377;CC(C)c1cc(cc(c1)C(C)C)C(C)C
KR3378;CC(C)c1ccc(C)c(O)c1
KR3379;CC(C)c1ccc(C)cc1
KR3380;CC(C)C1CCC(C)CC1O
KR3381;CC(C)c1ccc(O)cc1
KR3382;CC(C)c1ccccc1
KR3383;CC(C)c1nnn[nH]1
KR3384;CC(C)CC(=NNC=O)C
KR3385;CC(C)CC(=O)N
KR3386;CC(C)CC(=O)NC(NC(=S)N)C(Cl)(Cl)Cl
KR3387;CC(C)CC(=O)O
KR3388;CC(C)CC(C)(C)C
KR3389;CC(C)CC(C)O
KR3390;CC(C)CC=O
KR3391;CC(C)Cc1ccc(cc1)C(C)C=O
KR3392;CC(C)CCC(=O)O
KR3393;CC(C)CCC=O
KR3394;CC(C)CCCC(C)C
KR3395;CC(C)CCO
KR3396;CC(C)CN
KR3397;CC(C)CN(CC(C)C)S(=O)=O
KR3398;CC(C)CNC=O
KR3399;CC(C)CO
KR3400;CC(C)COC=O
KR3401;CC(C)COP(=O)(N)OCC(C)C
KR3402;CC(C)N
KR3403;CC(C)N(C=O)C(C)C
KR3404;CC(C)NC=O
KR3405;CC(C)NCC(=O)N
KR3406;CC(C)NCC(O)CO
KR3407;CC(C)NS(=O)=O
KR3408;CC(C)O
KR3409;CC(C)OC(=O)N
KR3410;CC(C)OC=O
KR3411;CC(C)OP(=O)(N)OC(C)C
KR3412;CC(CC=O)c1ccccc1
KR3413;CC(Cl)(Cl)Cl
KR3414;CC(N)C(=O)O
KR3415;CC(N)c1ccccc1
KR3416;CC(NC(=O)CO)C(=O)O
KR3417;CC(NC(=O)OC(C)(C)C)C(=O)O
KR3418;CC(NC=O)C(=O)N
KR3419;CC(NC=O)C(=O)O
KR3420;CC(NS(=O)=O)C(=O)O
KR3421;CC(O)C(=O)NN
KR3422;CC(O)C(=O)NN=C
KR3423;CC(O)C(=O)NN=Cc1cc(ccc1O)[N+](=O)[O-]
KR3424;CC(O)C(=O)NN=Cc1ccccc1
KR3425;CC(O)C(=O)O
KR3426;CC(O)C(O)C(O)C(C)O
KR3427;CC(O)C(O)C(O)C(O)CO
KR3428;CC(O)C(O)C(O)CO
KR3429;CC(O)c1ccc(cc1)[N+](=O)[O-]
KR3430;CC(O)c1ccccc1
KR3431;CC(O)CBr
KR3432;CC(O)CCC(=O)NN=C
KR3433;CC(O)CCl
KR3434;CC(O)CN
KR3435;CC(O)CN(C)C
KR3436;CC(O)CO
KR3437;CC(OC=O)C(=C(Cl)Cl)Cl
KR3438;CC[n+]1c(C)oc2ccccc12
KR3439;CC[n+]1c2ccccc2nc3ccccc13
KR3440;CC=C
KR3441;CC=CC(=O)C
KR3442;CC=CC(=O)N
KR3443;CC=N
KR3444;CC=NN
KR3445;CC=NN=CC
KR3446;CC=NNC(=O)C
KR3447;CC=NNC(=O)CO
KR3448;CC=NNC(=O)N
KR3449;CC=NNC(=S)N
KR3450;CC=NNC=O
KR3451;CC=NNS(=O)=O
KR3452;CC=NO
KR3453;CC=NOC=O
KR3454;CC=NOCON=CC
KR3455;CC=O
KR3456;CC1(C)C(CCC1(C)C(=O)O)C(=O)N
KR3457;CC1(C)C(CCC1(C)C(=O)O)C=O
KR3458;CC1(C)C2CCC1(C)C(=O)C2
KR3459;CC1(C)CC(=CC(=O)C1)O
KR3460;CC1(C)CC(=O)c2cc3ccccc3nc2C1
KR3461;CC1(C)CC(=O)c2cncnc2C1
KR3462;CC1(C)CC(=O)CC(=NNC=O)C1
KR3463;CC1(C)CC(=O)CC(=O)C1
KR3464;CC1(C)CC(=O)CC(=O)C1C=O
KR3465;CC1(C)CC(O)c2cc3ccccc3nc2C1
KR3466;CC1(C)CC=CC(=O)C1
KR3467;CC1(C)CC1
KR3468;CC1(C)CC1C=O
KR3469;CC1(C)CCCC(C)(C)N1
KR3470;CC1(C)CCCC1(C)C(=O)O
KR3471;CC1(C)CN(C(=O)N1)c2cccc3ccccc23
KR3472;CC1(C)OC(=O)CC(=O)O1
KR3473;CC1(CC2CC3CC(C2)C1)C3
KR3474;CC1(O)CCCCC1
KR3475;Cc1[nH][nH]c(=O)c1C=N
KR3476;Cc1[nH]c2ccc(C=O)cc2c1C
KR3477;Cc1[nH]c2ccc(O)cc2c1C=O
KR3478;Cc1[nH]c2ccccc2c1C
KR3479;CC1=CC(NC(=O)N1)c2ccccc2
KR3480;CC1=NN(C(=O)C1)c2c(F)c(F)c(F)c(F)c2F
KR3481;CC1=NN(C(=O)C1)c2ccc(cc2)[N+](=O)[O-]
KR3482;CC1C(=O)c2ccccc2C1=O
KR3483;CC1C(=O)CC(C)(C)CC1=O
KR3484;CC1C(C=O)C(C=O)C(C)C(C=O)C1C=O
KR3485;Cc1c(C=O)oc2c(O)cccc12
KR3486;Cc1c(cc(C=O)cc1[N+](=O)[O-])[N+](=O)[O-]
KR3487;Cc1c(cc(cc1[N+](=O)[O-])C(=O)N)[N+](=O)[O-]
KR3488;Cc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
KR3489;Cc1c(O)ccc2ccccc12
KR3490;Cc1c[nH]c2ccccc12
KR3491;Cc1cc(=O)[nH][nH]1
KR3492;Cc1cc(=O)c2ccc(O)cc2o1
KR3493;Cc1cc(=O)c2ccccc2o1
KR3494;Cc1cc(=O)n(c2ccccc2)n1C
KR3495;Cc1cc(=O)oc2cc(O)ccc12
KR3496;Cc1cc(=O)oc2ccccc12
KR3497;Cc1cc(Br)cc(Br)c1O
KR3498;Cc1cc(Br)cc(C(=O)O)c1O
KR3499;Cc1cc(Br)cc(C)c1O
KR3500;Cc1cc(C)[nH]c(=O)n1
KR3501;Cc1cc(C)[nH]n1
KR3502;Cc1cc(C)c(C)c(C)c1C
KR3503;Cc1cc(C)c(C=NO)c(C)c1
KR3504;CC1CC(C)C(C=O)C1C=O
KR3505;CC1CC(C)C(C1C=O)C(=O)O
KR3506;Cc1cc(C)c(O)c(n1)C(C)(C)C
KR3507;Cc1cc(C)c(O)cn1
KR3508;Cc1cc(C)c(S(=O)=O)c(C)c1
KR3509;Cc1cc(C)cc(Br)c1
KR3510;Cc1cc(C)cc(C)c1
KR3511;Cc1cc(C)n2ncnc2n1
KR3512;Cc1cc(C)nc(N)n1
KR3513;Cc1cc(C)nc(NC=O)n1
KR3514;Cc1cc(C)nc(NS(=O)=O)n1
KR3515;Cc1cc(C)ncn1
KR3516;Cc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
KR3517;Cc1cc(ccc1O)[N+](=O)[O-]
KR3518;Cc1cc(CO)c(C=O)c(=O)[nH]1
KR3519;Cc1cc(O)c2[nH]nc[n+]2n1
KR3520;Cc1cc(O)cc(O)c1
KR3521;Cc1cc[nH]n1
KR3522;Cc1cc2cc(ccc2[nH]1)[N+](=O)[O-]
KR3523;Cc1cc2ccccc2[nH]1
KR3524;Cc1cc2ccccc2n1C
KR3525;Cc1ccc(Br)cc1
KR3526;Cc1ccc(Br)s1
KR3527;Cc1ccc(C)[nH]1
KR3528;Cc1ccc(C)c(C)c1
KR3529;Cc1ccc(C)cc1
KR3530;Cc1ccc(C)n1c2ccccc2
KR3531;Cc1ccc(C)o1
KR3532;Cc1ccc(C=N)o1
KR3533;Cc1ccc(C=NNC=O)o1
KR3534;Cc1ccc(C=O)cc1
KR3535;Cc1ccc(C=O)cc1S(=O)=O
KR3536;Cc1ccc(cc1)[N+](=O)[O-]
KR3537;Cc1ccc(cc1)C(=O)O
KR3538;Cc1ccc(cc1)C(F)(F)F
KR3539;Cc1ccc(cc1)C2(CC2C=O)c3ccc(C)cc3
KR3540;Cc1ccc(cc1)c2ccccc2
KR3541;Cc1ccc(cc1)S(=O)(=O)C
KR3542;Cc1ccc(cc1)S(=O)(=O)N
KR3543;Cc1ccc(cc1)S(=O)=O
KR3544;Cc1ccc(cc1[N+](=O)[O-])S(=O)=O
KR3545;Cc1ccc(CCC=O)o1
KR3546;Cc1ccc(Cl)cc1
KR3547;Cc1ccc(Cl)cc1Cl
KR3548;Cc1ccc(F)cc1
KR3549;Cc1ccc(F)cc1F
KR3550;Cc1ccc(N)cc1
KR3551;Cc1ccc(NC(=S)NCC(Cl)(Cl)Cl)cc1
KR3552;Cc1ccc(NC(=S)SCC=O)cc1
KR3553;Cc1ccc(NC=O)cc1
KR3554;Cc1ccc(O)c(C)c1
KR3555;Cc1ccc(O)c(C)n1
KR3556;Cc1ccc(O)c(C=NNC=O)c1
KR3557;Cc1ccc(O)c(c1)[N+](=O)[O-]
KR3558;Cc1ccc(O)c(CCc2ccccc2)n1
KR3559;Cc1ccc(O)c(O)c1
KR3560;Cc1ccc(O)cc1
KR3561;Cc1ccc(O)cc1C
KR3562;Cc1ccc(O)cn1
KR3563;Cc1ccc(o1)[N+](=O)[O-]
KR3564;Cc1ccc[nH]1
KR3565;Cc1ccc[nH]c1=N
KR3566;Cc1ccc2[nH]c3C(=O)CCCc3c2c1
KR3567;Cc1ccc2[nH]c3CCCCc3c2c1
KR3568;Cc1ccc2ccccc2c1
KR3569;Cc1ccc2ccccc2n1
KR3570;Cc1ccc2n3CCNC4CCCc(c43)c2c1
KR3571;Cc1ccc2ncsc2c1
KR3572;Cc1ccc2OCOc2c1
KR3573;Cc1cccc(Br)c1
KR3574;Cc1cccc(C)c1
KR3575;Cc1cccc(C)c1Cl
KR3576;Cc1cccc(C)c1n2cnnn2
KR3577;Cc1cccc(C)c1NC=O
KR3578;Cc1cccc(C)n1
KR3579;Cc1cccc(C=O)c1
KR3580;Cc1cccc(c1)[N+](=O)[O-]
KR3581;Cc1cccc(c1)C(=O)N
KR3582;Cc1cccc(c1)C(=O)O
KR3583;Cc1cccc(c1)C(C)(C)C
KR3584;Cc1cccc(c1)c2cccc(C)c2
KR3585;Cc1cccc(Cl)c1
KR3586;Cc1cccc(F)c1
KR3587;Cc1cccc(N)c1
KR3588;Cc1cccc(N=Nc2ccccc2C)c1
KR3589;Cc1cccc(NC(=S)NCC(Cl)(Cl)Cl)c1
KR3590;Cc1cccc(NC=O)c1
KR3591;Cc1cccc(O)c1
KR3592;Cc1cccc2ccccc12
KR3593;CC1CCCCC1
KR3594;Cc1ccccc1[N+](=O)[O-]
KR3595;Cc1ccccc1Br
KR3596;Cc1ccccc1C
KR3597;Cc1ccccc1C(F)(F)F
KR3598;Cc1ccccc1C=O
KR3599;Cc1ccccc1Cl
KR3600;Cc1ccccc1F
KR3601;Cc1ccccc1I
KR3602;Cc1ccccc1N
KR3603;Cc1ccccc1N=Nc2ccc(NC(=S)NCC(Cl)(Cl)Cl)c(C)c2
KR3604;Cc1ccccc1NC(=S)NCC(Cl)(Cl)Cl
KR3605;Cc1ccccc1NS(=O)=O
KR3606;Cc1ccccc1O
KR3607;Cc1ccccc1S(=O)(=O)O
KR3608;Cc1ccccn1
KR3609;Cc1cccnc1
KR3610;Cc1ccco1
KR3611;Cc1cccs1
KR3612;Cc1ccn[nH]1
KR3613;Cc1ccnc(C)c1
KR3614;Cc1ccnc(N)c1
KR3615;Cc1ccnc2ccc3ccccc3c12
KR3616;Cc1ccncc1
KR3617;Cc1ccncn1
KR3618;Cc1ccoc1
KR3619;Cc1ccsc1
KR3620;Cc1ccsc1C
KR3621;Cc1ccsc1C=N
KR3622;CC1COC2(CCCCC2)O1
KR3623;Cc1csc[nH+]1
KR3624;Cc1csc2CCCCc12
KR3625;Cc1cscn1
KR3626;Cc1n[nH]cc1[N+](=O)[O-]
KR3627;Cc1nc2ccccc2[nH]1
KR3628;Cc1nc2ccccc2c(=O)[nH]1
KR3629;Cc1nc2ccccc2c3cc4ccccc4n13
KR3630;Cc1nc2ccccc2s1
KR3631;Cc1ncc([nH]1)[N+](=O)[O-]
KR3632;Cc1ncc[nH]1
KR3633;Cc1ncc2c3CCCCc3sc2n1
KR3634;Cc1nncs1
KR3635;CC1OCC(O)C(O)C1O
KR3636;CC1OCCO1
KR3637;Cc1sc2ccccc2[n+]1CCCS(=O)(=O)O
KR3638;Cc1sc2ncncc2c1C
KR3639;Cc1scc(C=O)c1C
KR3640;CCC
KR3641;CCC#N
KR3642;CCC(=NNC(=S)N)CC
KR3643;CCC(=O)C
KR3644;CCC(=O)C1(CC2CC3CC(C2)C1)C3
KR3645;CCC(=O)c1ccccc1
KR3646;CCC(=O)CC
KR3647;CCC(=O)N
KR3648;CCC(=O)NC
KR3649;CCC(=O)NC(C)C
KR3650;CCC(=O)NC(NC(=S)N)C(Cl)(Cl)Cl
KR3651;CCC(=O)NN
KR3652;CCC(=O)NN=C
KR3653;CCC(=O)NNC=O
KR3654;CCC(=O)O
KR3655;CCC(=O)OC
KR3656;CCC(=O)OCC=O
KR3657;CCC(C)(C)C
KR3658;CCC(C)(C)CC(=O)C
KR3659;CCC(C)C
KR3660;CCC(C)CC
KR3661;CCC(C)N
KR3662;CCC(C)NC=O
KR3663;CCC(C=O)C(CC)C=O
KR3664;CCC(CC)(C=O)C=O
KR3665;CCC(CC)Cc1ccccc1
KR3666;CCC(CCC(O)c1ccnc2ccccc12)C(C)C
KR3667;CCC(N)C(=O)O
KR3668;CCC=C(C)C
KR3669;CCC=NNC=O
KR3670;CCC=NO
KR3671;CCC=O
KR3672;CCC1(CC2CC3CC(C2)C1)C3
KR3673;CCC1C(C=O)C(C=O)C(C)(CC=O)C(C=O)C1C=O
KR3674;CCc1c[nH]c2ccc(O)cc12
KR3675;CCc1c[nH]c2ccccc12
KR3676;CCC1CC1
KR3677;CCc1cc2c(=O)ccoc2cc1O
KR3678;CCc1ccc(C)nc1
KR3679;CCc1ccc(cc1)c2nc3ccccc3o2
KR3680;CCc1ccc(O)c(O)c1
KR3681;CCc1ccc(O)cc1
KR3682;CCc1ccccc1
KR3683;CCC1CCCCN1
KR3684;CCc1cnc2ccc(Br)cc2c1
KR3685;CCc1cnc2ccccc2c1
KR3686;CCc1nc(C)ccc1O
KR3687;CCc1nc2ccccc2[nH]1
KR3688;CCc1nc2ccccc2cc1C
KR3689;CCc1ncccc1O
KR3690;CCc1nnc(N)s1
KR3691;CCc1nncs1
KR3692;CCCC
KR3693;CCCC(=O)N
KR3694;CCCC(=O)NC(N)C(Cl)(Cl)Cl
KR3695;CCCC(=O)NC(NC(=S)N)C(Cl)(Cl)Cl
KR3696;CCCC(=O)NS(=O)=O
KR3697;CCCC(=O)O
KR3698;CCCC(CCC)C(=O)N
KR3699;CCCC(O)CO
KR3700;CCCC=NNC=O
KR3701;CCCC=O
KR3702;CCCc1c[nH]c2ccccc12
KR3703;CCCc1ccc(O)cc1
KR3704;CCCc1ccccc1
KR3705;CCCc1nc2ccccc2cc1CC
KR3706;CCCCC
KR3707;CCCCC(=O)N
KR3708;CCCCC(=O)O
KR3709;CCCCC=O
KR3710;CCCCc1ccccc1
KR3711;CCCCc1nc2ccccc2cc1CCC
KR3712;CCCCCC
KR3713;CCCCCC(=O)N
KR3714;CCCCCC(=O)NC(NC(=S)N)C(Cl)(Cl)Cl
KR3715;CCCCCC(=O)NN=C
KR3716;CCCCCC(=O)O
KR3717;CCCCCC(C)NC=O
KR3718;CCCCCC=O
KR3719;CCCCCCC
KR3720;CCCCCCC(=O)NC(NC(=S)N)C(Cl)(Cl)Cl
KR3721;CCCCCCC=O
KR3722;CCCCCCCC
KR3723;CCCCCCCC(=O)NN=C
KR3724;CCCCCCCC(=O)NNC=O
KR3725;CCCCCCCC=O
KR3726;CCCCCCNC=O
KR3727;CCCCCCO
KR3728;CCCCCCOC=O
KR3729;CCCCCN
KR3730;CCCCCO
KR3731;CCCCCOC=O
KR3732;CCCCl
